FAD 3C Zygosity Call,GT73 Zygosity Call,LepR1B Zygosity Call,LepR2C Zygosity Call,PM2 Zygosity Call,CRM2 Zygosity Call,Sask BAR Zygosity Call,profile
Homo,Null,Homo,Hemi,Homo,Homo,Null,2020(1)
Homo,Null,Homo,Homo,Homo,Homo,Null,2020(2)
Homo,Null,Homo,Null,Homo,Hemi,Null,2020(3)
Homo,Null,Homo,Null,Homo,Homo,Null,2020(4)
Homo,Null,Null,Homo,Homo,Homo,Null,2020(5)
Homo,Null,Null,Null,Homo,Homo,Null,2020(6)
Homo,Null,Hemi,Homo,Homo,Homo,Null,2020(7)
Homo,Null,Null,Homo,Homo,Hemi,Null,2020(8)
Homo,Null,Hemi,Null,Homo,Homo,Null,2020(9)
Homo,Null,Homo,Hemi,Hemi,Hemi,Null,2020(10)
Homo,Null,Hemi,Hemi,Homo,Null,Null,2022(1)
Homo,Null,Null,Null,Homo,Null,Null,2012/2020/2022/unknown/2022 and 2012/FAD/CL segregation(1)
Homo,Null,Hemi,Hemi,Homo,Homo,Null,2020 Contamination? (1)
Homo,Null,Homo,Homo,Homo,Hemi,Null,2020 Contamination? (2)
Homo,Null,Null,Hemi,Homo,Hemi,Null,2020 Contamination? (3)
Homo,Null,Null,Hemi,Homo,Homo,Null,2020 Contamination? (4)
Homo,Null,Hemi,Homo,Homo,Hemi,Null,2020 Contamination? (5)
Homo,Null,Homo,Hemi,Homo,Hemi,Null,2020/2022(1)
Homo,Null,Null,Null,Homo,Hemi,Null,2020/2022(2)
Homo,Null,Homo,Hemi,Homo,Null,Null,2020/2022/Contamination/unknown(1)
Homo,Null,Hemi,Homo,Homo,Null,Null,2020/2022/FAD Segregation(1)
Homo,Null,Homo,Null,Homo,Null,Null,2020/2022/unknown(1)
Homo,Null,Null,Hemi,Homo,Null,Null,2020/2022/unknown(2)
Homo,Null,Hemi,Null,Homo,Null,Null,2020/2022/unknown(3)
Homo,Null,Hemi,Hemi,Hemi,Null,Null,2020/FAD/CL segregation(1)
Homo,Null,Homo,Null,Hemi,Hemi,Null,2020/unknown(1)
Homo,Null,Hemi,Hemi,Homo,Hemi,Null,2020/unknown(2)
Homo,Null,Hemi,Null,Homo,Hemi,Null,2020/unknown(3)
Homo,Null,Null,Homo,Homo,Null,Null,2022 unknown(1)
Homo,Null,Homo,Homo,Homo,Null,Null,2022/unknown/FAD Segregation(1)
Hemi,Null,Hemi,Null,Homo,Null,Null,2022/unknown/FAD Segregation(2)
Hemi,Null,Hemi,Null,Homo,Null,Hemi,Bar contamination?(1)
Null,Null,Hemi,Hemi,Homo,Null,Null,Contamination(1)
Null,Null,Hemi,Homo,Hemi,Null,Null,Contamination(2)
Null,Null,Hemi,Null,Homo,Null,Null,Contamination(3)
Null,Null,Homo,Hemi,Homo,Null,Null,Contamination(4)
Null,Null,Homo,Hemi,Null,Null,Null,Contamination(5)
Null,Null,Homo,Homo,Hemi,Hemi,Null,Contamination(6)
Null,Null,Homo,Null,Homo,Null,Null,Contamination(7)
Null,Null,Null,Homo,Homo,Null,Null,Contamination(8)
Null,Null,Null,Null,Null,Null,Null,Contamination(9)
